Density;f;f0;u;P;u_0;P_0;T;;;;;;
252.2276585;-66.99405007;-64.79086164;-0.013354055;9.040468904;-0.013233505;7.360444254;13820935.95;0;;;;0;
253.8342041;-67.36307711;-65.1566117;-0.013346529;9.073234337;-0.013229964;7.375856298;13820935.95;0;;;;0;
255.4407496;-67.73189626;-65.52226299;-0.013339012;9.106168824;-0.013226357;7.391659959;13820935.95;0;;;;0;
257.0472952;-68.10050768;-65.88781359;-0.013331498;9.139296541;-0.013222678;7.407883188;13820935.95;0;;;;0;
258.6538408;-68.46891138;-66.2532614;-0.013323982;9.172642444;-0.01321892;7.424554437;13820935.95;0;;;;0;
260.2603864;-68.83710722;-66.61860421;-0.013316458;9.206232276;-0.013215079;7.441702661;13820935.95;0;;;;0;
261.866932;-69.20509489;-66.98383961;-0.01330892;9.24009257;-0.013211148;7.459357323;13820935.95;0;;;;0;
263.4734776;-69.57287394;-67.34896508;-0.013301362;9.274250654;-0.013207123;7.477548401;13820935.95;0;;;;0;
265.0800232;-69.94044372;-67.71397792;-0.013293778;9.308734652;-0.013202998;7.49630639;13820935.95;0;;;;0;
266.6865688;-70.30780345;-68.07887528;-0.013286162;9.343573488;-0.013198767;7.515662309;13820935.95;0;;;;0;
268.2931144;-70.67495217;-68.44365416;-0.013278509;9.378796888;-0.013194425;7.535647707;13820935.95;0;;;;0;
269.89966;-71.04188874;-68.8083114;-0.013270812;9.41443538;-0.013189966;7.556294661;13820935.95;0;;;;0;
271.5062056;-71.40861186;-69.1728437;-0.013263064;9.450520296;-0.013185384;7.577635791;13820935.95;0;;;;0;
273.1127512;-71.77512007;-69.53724759;-0.013255261;9.487083772;-0.013180674;7.599704254;13820935.95;0;;;;0;
274.7192968;-72.14141171;-69.90151945;-0.013247394;9.524158748;-0.01317583;7.622533758;13820935.95;0;;;;0;
276.3258424;-72.50748496;-70.2656555;-0.013239458;9.561778969;-0.013170846;7.64615856;13820935.95;0;;;;0;
277.932388;-72.87333783;-70.6296518;-0.013231447;9.599978982;-0.013165718;7.670613474;13820935.95;0;;;;0;
279.5389336;-73.23896813;-70.99350426;-0.013223353;9.638794137;-0.013160438;7.695933873;13820935.95;0;;;;0;
281.1454792;-73.60437349;-71.35720864;-0.013215171;9.678260582;-0.013155002;7.722155697;13820935.95;0;;;;0;
282.7520248;-73.9695514;-71.72076051;-0.013206894;9.718415267;-0.013149403;7.749315454;13820935.95;0;;;;0;
284.3585704;-74.3344991;-72.08415533;-0.013198515;9.759295936;-0.013143637;7.777450226;13820935.95;0;;;;0;
285.965116;-74.69921371;-72.44738835;-0.013190027;9.800941126;-0.013137696;7.806597674;13820935.95;0;;;;0;
287.5716616;-75.06369211;-72.81045469;-0.013181424;9.84339017;-0.013131576;7.836796041;13820935.95;0;;;;0;
289.1782071;-75.42793104;-73.1733493;-0.013172698;9.886683183;-0.01312527;7.868084155;13820935.95;0;;;;0;
290.7847527;-75.79192701;-73.53606698;-0.013163844;9.930861071;-0.013118773;7.900501439;13820935.95;0;;;;0;
292.3912983;-76.15567637;-73.89860235;-0.013154854;9.975965518;-0.013112078;7.934087909;13820935.95;0;;;;0;
293.9978439;-76.51917527;-74.26094988;-0.013145721;10.02203899;-0.013105181;7.968884179;13820935.95;0;;;;0;
295.6043895;-76.88241965;-74.62310388;-0.013136438;10.06912472;-0.013098074;8.004931469;13820935.95;0;;;;0;
297.2109351;-77.24540529;-74.98505847;-0.013126998;10.11726672;-0.013090752;8.042271606;13820935.95;0;;;;0;
298.8174807;-77.60812775;-75.34680765;-0.013117395;10.16650977;-0.01308321;8.080947029;13820935.95;0;;;;0;
300.4240263;-77.9705824;-75.70834521;-0.01310762;10.21689941;-0.01307544;8.12100079;13820935.95;0;;;;0;
302.0305719;-78.33276443;-76.0696648;-0.013097668;10.26848194;-0.013067438;8.162476566;13820935.95;0;;;;0;
303.6371175;-78.69466881;-76.4307599;-0.01308753;10.3213044;-0.013059197;8.205418651;13820935.95;0;;;;0;
305.2436631;-79.05629032;-76.79162382;-0.0130772;10.3754146;-0.01305071;8.249871972;13820935.95;0;;;;0;
306.8502087;-79.41762355;-77.15224971;-0.013066671;10.4308611;-0.013041973;8.295882084;13820935.95;0;;;;0;
308.4567543;-79.77866289;-77.51263054;-0.013055934;10.48769319;-0.013032978;8.343495178;13820935.95;0;;;;0;
310.0632999;-80.13940252;-77.87275911;-0.013044984;10.5459609;-0.01302372;8.392758083;13820935.95;0;;;;0;
311.6698455;-80.49983641;-78.23262807;-0.013033813;10.60571499;-0.013014193;8.443718272;13820935.95;0;;;;0;
313.2763911;-80.85995836;-78.59222987;-0.013022412;10.66700697;-0.01300439;8.496423861;13820935.95;0;;;;0;
314.8829367;-81.21976195;-78.95155681;-0.013010776;10.72988906;-0.012994305;8.550923618;13820935.95;0;;;;0;
316.4894823;-81.57924054;-79.31060102;-0.012998897;10.79441419;-0.012983932;8.607266963;13820935.95;0;;;;0;
318.0960279;-81.93838732;-79.66935445;-0.012986767;10.86063605;-0.012973264;8.665503973;13820935.95;0;;;;0;
319.7025735;-82.29719525;-80.02780886;-0.012974379;10.928609;-0.012962296;8.725685383;13820935.95;0;;;;0;
321.3091191;-82.65565709;-80.38595588;-0.012961725;10.99838813;-0.012951021;8.787862595;13820935.95;0;;;;0;
322.9156646;-83.01376542;-80.74378691;-0.012948799;11.07002926;-0.012939433;8.852087674;13820935.95;0;;;;0;
324.5222102;-83.37151258;-81.10129322;-0.012935592;11.14358887;-0.012927525;8.918413355;13820935.95;0;;;;0;
326.1287558;-83.72889073;-81.45846589;-0.012922098;11.21912419;-0.012915291;8.986893048;13820935.95;0;;;;0;
327.7353014;-84.0858918;-81.8152958;-0.012908308;11.2966931;-0.012902725;9.057580838;13820935.95;0;;;;0;
329.341847;-84.44250753;-82.17177369;-0.012894216;11.37635422;-0.01288982;9.130531489;13820935.95;0;;;;0;
330.9483926;-84.79872946;-82.52789011;-0.012879813;11.45816683;-0.012876569;9.205800447;13820935.95;0;;;;0;
332.5549382;-85.1545489;-82.8836354;-0.012865093;11.54219091;-0.012862967;9.283443844;13820935.95;0;;;;0;
334.1614838;-85.50995698;-83.23899977;-0.012850048;11.62848715;-0.012849006;9.3635185;13820935.95;0;;;;0;
335.7680294;-85.86494459;-83.5939732;-0.01283467;11.71711689;-0.012834681;9.446081925;13820935.95;0;;;;0;
337.374575;-86.21950243;-83.94854554;-0.012818951;11.80814218;-0.012819984;9.531192323;13820935.95;0;;;;0;
338.9811206;-86.573621;-84.30270642;-0.012802885;11.90162574;-0.012804909;9.618908597;13820935.95;0;;;;0;
340.5876662;-86.92729058;-84.65644529;-0.012786464;11.99763096;-0.012789449;9.709290345;13820935.95;0;;;;0;
342.1942118;-87.28050124;-85.00975144;-0.012769679;12.09622194;-0.012773598;9.802397871;13820935.95;0;;;;0;
343.8007574;-87.63324284;-85.36261396;-0.012752524;12.19746342;-0.012757349;9.89829218;13820935.95;0;;;;0;
345.407303;-87.98550504;-85.71502175;-0.012734991;12.30142085;-0.012740696;9.997034986;13820935.95;0;;;;0;
347.0138486;-88.33727728;-86.06696354;-0.012717073;12.40816032;-0.012723631;10.09868871;13820935.95;0;;;;0;
348.6203942;-88.6885488;-86.41842785;-0.012698761;12.51774862;-0.012706148;10.20331649;13820935.95;0;;;;0;
