Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 35
Component 2 = 40
Equation of state = 1
Mixing Rule = 1
Defined Temperature = 308 K
kij = 0
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.4851;0.90974;308;10.5842;0;0;1.00004;2;0;0;0;0;0.00050998;0.99553;1.86758;0.174066;0.995849;0.992531;0;0;0;0;-1.09557
0.4901;0.91134;308;10.673;0;0;1.00004;2;0;0;0;0;0.000513295;0.995498;1.85171;0.172648;0.995814;0.99247;0;0;0;0;-1.08091
0.4951;0.912913;308;10.7618;0;0;1.00004;2;0;0;0;0;0.000516592;0.995466;1.83611;0.171254;0.995779;0.992409;0;0;0;0;-1.0663
0.5001;0.914461;308;10.8506;0;0;1.00004;2;0;0;0;0;0.000519872;0.995434;1.82077;0.169884;0.995744;0.992348;0;0;0;0;-1.05175
0.5051;0.915983;308;10.9393;0;0;1.00004;2;0;0;0;0;0.000523135;0.995401;1.80569;0.168538;0.995709;0.992288;0;0;0;0;-1.03725
0.5101;0.917481;308;11.028;0;0;1.00004;2;0;0;0;0;0.00052638;0.995369;1.79085;0.167213;0.995675;0.992227;0;0;0;0;-1.0228
0.5151;0.918955;308;11.1167;0;0;1.00004;2;0;0;0;0;0.000529608;0.995337;1.77625;0.165911;0.99564;0.992166;0;0;0;0;-1.00841
0.5201;0.920406;308;11.2054;0;0;1.00004;2;0;0;0;0;0.000532818;0.995305;1.76189;0.16463;0.995605;0.992106;0;0;0;0;-0.994067
0.5251;0.921834;308;11.294;0;0;1.00004;2;0;0;0;0;0.000536011;0.995272;1.74776;0.163371;0.99557;0.992045;0;0;0;0;-0.979782
0.5301;0.923239;308;11.3826;0;0;1.00004;2;0;0;0;0;0.000539187;0.99524;1.73386;0.162131;0.995535;0.991985;0;0;0;0;-0.965553
0.5351;0.924623;308;11.4712;0;0;1.00004;2;0;0;0;0;0.000542346;0.995208;1.72017;0.160912;0.9955;0.991924;0;0;0;0;-0.951378
0.5401;0.925986;308;11.5598;0;0;1.00004;2;0;0;0;0;0.000545487;0.995176;1.7067;0.159712;0.995465;0.991864;0;0;0;0;-0.937259
0.5451;0.927328;308;11.6483;0;0;1.00004;2;0;0;0;0;0.000548611;0.995144;1.69343;0.158531;0.99543;0.991803;0;0;0;0;-0.923197
0.5501;0.92865;308;11.7369;0;0;1.00004;2;0;0;0;0;0.000551717;0.995111;1.68037;0.157369;0.995395;0.991743;0;0;0;0;-0.90919
0.5551;0.929952;308;11.8254;0;0;1.00004;2;0;0;0;0;0.000554806;0.995079;1.66752;0.156226;0.99536;0.991682;0;0;0;0;-0.89524
0.5601;0.931235;308;11.9139;0;0;1.00004;2;0;0;0;0;0.000557879;0.995047;1.65485;0.1551;0.995326;0.991622;0;0;0;0;-0.881347
0.5651;0.932499;308;12.0023;0;0;1.00004;2;0;0;0;0;0.000560933;0.995015;1.64238;0.153991;0.995291;0.991561;0;0;0;0;-0.867511
0.5701;0.933745;308;12.0908;0;0;1.00004;2;0;0;0;0;0.000563971;0.994983;1.63009;0.152899;0.995256;0.991501;0;0;0;0;-0.853732
0.5751;0.934973;308;12.1792;0;0;1.00004;2;0;0;0;0;0.000566991;0.99495;1.61799;0.151825;0.995221;0.99144;0;0;0;0;-0.840012
0.5801;0.936183;308;12.2676;0;0;1.00004;2;0;0;0;0;0.000569995;0.994918;1.60606;0.150766;0.995186;0.99138;0;0;0;0;-0.82635
0.5851;0.937376;308;12.356;0;0;1.00004;2;0;0;0;0;0.000572981;0.994886;1.59431;0.149723;0.995152;0.99132;0;0;0;0;-0.812747
0.5901;0.938552;308;12.4444;0;0;1.00004;2;0;0;0;0;0.000575949;0.994854;1.58273;0.148696;0.995117;0.991259;0;0;0;0;-0.799203
0.5951;0.939711;308;12.5327;0;0;1.00004;2;0;0;0;0;0.000578901;0.994822;1.57132;0.147685;0.995082;0.991199;0;0;0;0;-0.785718
0.6001;0.940855;308;12.621;0;0;1.00004;2;0;0;0;0;0.000581836;0.99479;1.56007;0.146688;0.995047;0.991139;0;0;0;0;-0.772294
0.6051;0.941983;308;12.7094;0;0;1.00004;2;0;0;0;0;0.000584753;0.994758;1.54897;0.145706;0.995013;0.991078;0;0;0;0;-0.758929
0.6101;0.943095;308;12.7976;0;0;1.00004;2;0;0;0;0;0.000587654;0.994725;1.53804;0.144738;0.994978;0.991018;0;0;0;0;-0.745625
0.6151;0.944192;308;12.8859;0;0;1.00004;2;0;0;0;0;0.000590537;0.994693;1.52726;0.143784;0.994943;0.990958;0;0;0;0;-0.732382
0.6201;0.945275;308;12.9742;0;0;1.00004;2;0;0;0;0;0.000593403;0.994661;1.51663;0.142844;0.994908;0.990898;0;0;0;0;-0.719201
0.6251;0.946343;308;13.0624;0;0;1.00004;2;0;0;0;0;0.000596252;0.994629;1.50615;0.141917;0.994874;0.990837;0;0;0;0;-0.706081
0.6301;0.947397;308;13.1507;0;0;1.00004;2;0;0;0;0;0.000599084;0.994597;1.49581;0.141004;0.994839;0.990777;0;0;0;0;-0.693023
0.6351;0.948437;308;13.2389;0;0;1.00004;2;0;0;0;0;0.0006019;0.994565;1.48561;0.140103;0.994804;0.990717;0;0;0;0;-0.680028
0.6401;0.949463;308;13.3271;0;0;1.00004;2;0;0;0;0;0.000604698;0.994533;1.47555;0.139216;0.99477;0.990657;0;0;0;0;-0.667096
0.6451;0.950476;308;13.4153;0;0;1.00004;2;0;0;0;0;0.000607479;0.994501;1.46562;0.13834;0.994735;0.990597;0;0;0;0;-0.654227
0.6501;0.951477;308;13.5034;0;0;1.00004;2;0;0;0;0;0.000610243;0.994468;1.45583;0.137477;0.9947;0.990536;0;0;0;0;-0.641423
0.6551;0.952464;308;13.5916;0;0;1.00004;2;0;0;0;0;0.00061299;0.994436;1.44617;0.136626;0.994665;0.990476;0;0;0;0;-0.628682
0.6601;0.953439;308;13.6797;0;0;1.00004;2;0;0;0;0;0.000615721;0.994404;1.43663;0.135786;0.994631;0.990416;0;0;0;0;-0.616006
0.6651;0.954402;308;13.7679;0;0;1.00004;2;0;0;0;0;0.000618434;0.994372;1.42722;0.134958;0.994596;0.990356;0;0;0;0;-0.603395
0.6701;0.955352;308;13.856;0;0;1.00004;2;0;0;0;0;0.000621131;0.99434;1.41793;0.134142;0.994562;0.990296;0;0;0;0;-0.59085
0.6751;0.956291;308;13.9441;0;0;1.00004;2;0;0;0;0;0.000623811;0.994308;1.40877;0.133336;0.994527;0.990236;0;0;0;0;-0.57837
0.6801;0.957219;308;14.0322;0;0;1.00004;2;0;0;0;0;0.000626474;0.994276;1.39972;0.132541;0.994492;0.990176;0;0;0;0;-0.565957
0.6851;0.958135;308;14.1203;0;0;1.00004;2;0;0;0;0;0.00062912;0.994244;1.39078;0.131757;0.994458;0.990115;0;0;0;0;-0.553611
0.6901;0.95904;308;14.2084;0;0;1.00004;2;0;0;0;0;0.000631749;0.994212;1.38196;0.130983;0.994423;0.990055;0;0;0;0;-0.541332
0.6951;0.959934;308;14.2964;0;0;1.00004;2;0;0;0;0;0.000634362;0.99418;1.37325;0.13022;0.994388;0.989995;0;0;0;0;-0.529121
0.7001;0.960817;308;14.3845;0;0;1.00004;2;0;0;0;0;0.000636957;0.994147;1.36465;0.129466;0.994354;0.989935;0;0;0;0;-0.516978
0.7051;0.96169;308;14.4726;0;0;1.00004;2;0;0;0;0;0.000639537;0.994115;1.35616;0.128723;0.994319;0.989875;0;0;0;0;-0.504904
0.7101;0.962553;308;14.5606;0;0;1.00004;2;0;0;0;0;0.000642099;0.994083;1.34777;0.127989;0.994285;0.989815;0;0;0;0;-0.492898
0.7151;0.963406;308;14.6486;0;0;1.00004;2;0;0;0;0;0.000644645;0.994051;1.33949;0.127265;0.99425;0.989755;0;0;0;0;-0.480963
0.7201;0.964249;308;14.7367;0;0;1.00004;2;0;0;0;0;0.000647174;0.994019;1.3313;0.12655;0.994215;0.989695;0;0;0;0;-0.469097
0.7251;0.965082;308;14.8247;0;0;1.00004;2;0;0;0;0;0.000649686;0.993987;1.32322;0.125844;0.994181;0.989635;0;0;0;0;-0.457302
0.7301;0.965906;308;14.9127;0;0;1.00004;2;0;0;0;0;0.000652182;0.993955;1.31523;0.125148;0.994146;0.989575;0;0;0;0;-0.445578
0.7351;0.96672;308;15.0008;0;0;1.00004;2;0;0;0;0;0.000654661;0.993923;1.30734;0.12446;0.994112;0.989515;0;0;0;0;-0.433926
0.7401;0.967525;308;15.0888;0;0;1.00004;2;0;0;0;0;0.000657124;0.993891;1.29955;0.123781;0.994077;0.989455;0;0;0;0;-0.422346
0.7451;0.968322;308;15.1768;0;0;1.00004;2;0;0;0;0;0.00065957;0.993859;1.29184;0.123111;0.994042;0.989395;0;0;0;0;-0.410838
0.7501;0.969109;308;15.2648;0;0;1.00004;2;0;0;0;0;0.000662;0.993827;1.28423;0.122449;0.994008;0.989335;0;0;0;0;-0.399403
0.7551;0.969888;308;15.3528;0;0;1.00004;2;0;0;0;0;0.000664413;0.993795;1.27671;0.121795;0.993973;0.989275;0;0;0;0;-0.388042
0.7601;0.970658;308;15.4408;0;0;1.00004;2;0;0;0;0;0.000666809;0.993762;1.26927;0.12115;0.993939;0.989215;0;0;0;0;-0.376755
0.7651;0.97142;308;15.5289;0;0;1.00004;2;0;0;0;0;0.00066919;0.99373;1.26192;0.120512;0.993904;0.989155;0;0;0;0;-0.365542
0.7701;0.972174;308;15.6169;0;0;1.00004;2;0;0;0;0;0.000671553;0.993698;1.25466;0.119883;0.993869;0.989095;0;0;0;0;-0.354405
0.7751;0.97292;308;15.7049;0;0;1.00004;2;0;0;0;0;0.000673901;0.993666;1.24748;0.119261;0.993835;0.989035;0;0;0;0;-0.343343
