Density;f;f0;u;P;u_0;P_0;T;rhoc;6088;;;;
2952.555488;79.90526971;80.86736909;0.029060158;5.896458882;0.029488297;6.198464345;513.0075;;;;0.515020452;-0.663548666;-5.500291614
2972.917939;80.49704266;81.46785194;0.029063765;5.907144474;0.029491106;6.20678541;513.0075;;;;0.511675766;-0.670064125;-5.531012704
2993.280391;81.08888805;82.0683906;0.029067274;5.917612404;0.029493779;6.214760372;513.0075;;;;0.508331079;-0.676622313;-5.561836659
3013.642843;81.68080392;82.66898234;0.029070688;5.927865794;0.02949632;6.222391636;513.0075;;;;0.504986392;-0.683223796;-5.592764514
3034.005294;82.27278836;83.2696245;0.029074009;5.93790775;0.029498731;6.229681604;513.0075;;;;0.501641706;-0.689869147;-5.623797287
3054.367746;82.8648395;83.87031445;0.029077239;5.947741352;0.029501014;6.236632679;513.0075;;;;0.498297019;-0.696558955;-5.654935982
3074.730198;83.4569555;84.47104961;0.029080381;5.957369662;0.029503173;6.243247259;513.0075;;;;0.494952333;-0.703293818;-5.686181586
3095.092649;84.04913461;85.07182748;0.029083436;5.966795717;0.029505209;6.249527743;513.0075;;;;0.491607646;-0.710074347;-5.717535072
3115.455101;84.64137507;85.67264558;0.029086408;5.976022536;0.029507125;6.255476525;513.0075;;;;0.48826296;-0.716901166;-5.748997395
3135.817552;85.2336752;86.27350148;0.029089297;5.985053117;0.029508923;6.261096001;513.0075;;;;0.484918273;-0.723774911;-5.780569498
3156.180004;85.82603333;86.87439281;0.029092106;5.993890435;0.029510605;6.266388561;513.0075;;;;0.481573587;-0.730696231;-5.812252308
3176.542456;86.41844788;87.47531725;0.029094837;6.002537446;0.029512174;6.271356598;513.0075;;;;0.4782289;-0.73766579;-5.844046739
3196.904907;87.01091724;88.07627249;0.029097492;6.010997084;0.029513632;6.2760025;513.0075;;;;0.474884214;-0.744684265;-5.875953692
3217.267359;87.60343991;88.67725631;0.029100072;6.019272264;0.029514981;6.280328654;513.0075;;;;0.471539527;-0.751752348;-5.907974053
3237.629811;88.19601437;89.27826651;0.02910258;6.027365878;0.029516223;6.284337448;513.0075;;;;0.468194841;-0.758870744;-5.940108699
3257.992262;88.78863918;89.87930094;0.029105017;6.035280798;0.029517361;6.288031266;513.0075;;;;0.464850154;-0.766040175;-5.972358492
3278.354714;89.38131291;90.48035747;0.029107385;6.043019878;0.029518395;6.291412492;513.0075;;;;0.461505467;-0.773261378;-6.004724288
3298.717166;89.97403416;91.08143404;0.029109686;6.050585948;0.029519329;6.294483507;513.0075;;;;0.458160781;-0.780535106;-6.037206929
3319.079617;90.5668016;91.68252862;0.029111921;6.05798182;0.029520164;6.297246695;513.0075;;;;0.454816094;-0.78786213;-6.069807252
3339.442069;91.15961389;92.28363922;0.029114092;6.065210282;0.029520902;6.299704434;513.0075;;;;0.451471408;-0.795243235;-6.102526086
3359.80452;91.75246976;92.88476387;0.029116201;6.072274104;0.029521546;6.301859104;513.0075;;;;0.448126721;-0.802679226;-6.135364252
3380.166972;92.34536795;93.48590068;0.029118249;6.079176036;0.029522096;6.303713084;513.0075;;;;0.444782035;-0.810170926;-6.168322568
3400.529424;92.93830724;94.08704776;0.029120238;6.085918804;0.029522555;6.305268749;513.0075;;;;0.441437348;-0.817719176;-6.201401851
3420.891875;93.53128643;94.68820326;0.029122169;6.092505115;0.029522924;6.306528478;513.0075;;;;0.438092662;-0.825324835;-6.234602913
3441.254327;94.12430438;95.2893654;0.029124044;6.098937655;0.029523206;6.307494645;513.0075;;;;0.434747975;-0.832988783;-6.267926569
3461.616779;94.71735993;95.89053238;0.029125864;6.105219089;0.029523402;6.308169625;513.0075;;;;0.431403289;-0.840711922;-6.301373636
3481.97923;95.310452;96.49170249;0.02912763;6.111352059;0.029523513;6.308555794;513.0075;;;;0.428058602;-0.848495172;-6.334944935
3502.341682;95.90357951;97.09287403;0.029129345;6.117339189;0.029523541;6.308655524;513.0075;;;;0.424713916;-0.856339477;-6.368641293
3522.704134;96.49674141;97.69404531;0.029131009;6.123183077;0.029523489;6.308471188;513.0075;;;;0.421369229;-0.864245801;-6.40246355
3543.066585;97.08993668;98.29521472;0.029132623;6.128886303;0.029523357;6.30800516;513.0075;;;;0.418024543;-0.872215134;-6.436412554
3563.429037;97.68316434;98.89638064;0.029134189;6.134451423;0.029523147;6.307259812;513.0075;;;;0.414679856;-0.880248488;-6.47048917
3583.791488;98.2764234;99.49754152;0.029135709;6.139880971;0.029522861;6.306237516;513.0075;;;;0.411335169;-0.888346899;-6.50469428
3604.15394;98.86971294;100.0986958;0.029137182;6.145177461;0.0295225;6.304940643;513.0075;;;;0.407990483;-0.896511431;-6.539028789
3624.516392;99.46303203;100.699842;0.029138612;6.150343382;0.029522066;6.303371565;513.0075;;;;0.404645796;-0.904743171;-6.573493624
3644.878843;100.0563798;101.3009786;0.029139998;6.155381201;0.02952156;6.301532654;513.0075;;;;0.40130111;-0.913043236;-6.608089742
3665.241295;100.6497553;101.9021042;0.029141342;6.160293363;0.029520984;6.29942628;513.0075;;;;0.397956423;-0.921412769;-6.642818132
3685.603747;101.2431578;102.5032174;0.029142645;6.165082288;0.029520339;6.297054815;513.0075;;;;0.394611737;-0.929852942;-6.67767982
3705.966198;101.8365864;103.1043167;0.029143908;6.169750373;0.029519626;6.29442063;513.0075;;;;0.39126705;-0.938364959;-6.712675871
3726.32865;102.4300404;103.7054009;0.029145132;6.174299995;0.029518847;6.291526096;513.0075;;;;0.387922364;-0.946950053;-6.747807398
3746.691102;103.0235189;104.3064685;0.029146319;6.178733502;0.029518004;6.288373586;513.0075;;;;0.384577677;-0.955609489;-6.783075565
3767.053553;103.6170211;104.9075183;0.029147468;6.18305322;0.029517097;6.284965471;513.0075;;;;0.381232991;-0.964344567;-6.818481588
3787.416005;104.2105465;105.508549;0.029148583;6.187261452;0.029516127;6.281304122;513.0075;;;;0.377888304;-0.973156619;-6.854026749
3807.778457;104.8040941;106.1095593;0.029149662;6.191360474;0.029515097;6.277391913;513.0075;;;;0.374543618;-0.982047014;-6.889712397
3828.140908;105.3976634;106.710548;0.029150708;6.195352539;0.029514007;6.273231216;513.0075;;;;0.371198931;-0.991017158;-6.925539953
3848.50336;105.9912536;107.311514;0.02915172;6.199239874;0.029512859;6.268824405;513.0075;;;;0.367854244;-1.000068494;-6.961510917
3868.865811;106.5848642;107.912456;0.029152701;6.20302468;0.029511654;6.264173852;513.0075;;;;0.364509558;-1.009202506;-6.997626875
3889.228263;107.1784944;108.5133729;0.029153651;6.206709133;0.029510393;6.259281934;513.0075;;;;0.361164871;-1.018420718;-7.033889516
3909.590715;107.7721436;109.1142635;0.029154571;6.210295383;0.029509077;6.254151025;513.0075;;;;0.357820185;-1.027724696;-7.070300626
3929.953166;108.3658112;109.7151268;0.029155461;6.213785554;0.029507708;6.2487835;513.0075;;;;0.354475498;-1.037116052;-7.106862093
3950.315618;108.9594967;110.3159617;0.029156323;6.217181743;0.029506286;6.243181737;513.0075;;;;0.351130812;-1.046596442;-7.143575934
